Threads;Tempo de Resposta;;;Erros;;
;Média;"Desvio
Padrão";Mediana;Média;"Desvio
Padrão";Mediana
25;4421,23;5006,15;3006,63;2,10;1,10;2,00
50;3860,85;898,67;4131,64;2,50;1,43;3,00
75;4873,51;378,91;4914,29;1,30;1,16;1,00
100;8271,42;2573,53;7772,62;1,40;1,17;1,50
125;9041,66;528,54;8915,47;0,70;0,95;0,00
150;10923,58;795,06;10748,06;0,70;0,67;1,00
175;11816,81;735,55;11655,35;0,50;0,71;0,00
200;14115,02;6475,33;12259,04;0,70;1,25;0,00
225;12269,29;714,19;12316,17;1,70;0,82;1,50
250;14606,90;337,68;14477,06;6,30;3,47;5,50
275;11667,69;850,45;11428,55;14,30;1,49;15,00
300;14495,48;3598,42;13160,82;21,50;1,72;21,50